total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
1,2.2187182903289795,0.23809523809523808,2.308191997528076,0.1,1764287806.690811
2,2.2593838093387095,0.1520269724527739,2.3025851249694824,0.1,1764287810.754389
3,2.3011022923685216,0.15795551174026887,2.3020500137329103,0.1327,1764287814.8515358
4,2.302649354609551,0.1453537928727304,2.302496087265015,0.1119,1764287817.893169
5,2.302136841854967,0.1517591917648222,2.302038990020752,0.1302,1764287821.3260381
6,2.302406096163611,0.15986125005655566,2.30129379196167,0.1133,1764287825.536971
7,2.300049418609623,0.12215701496414003,2.3031642898559572,0.1,1764287827.964788
8,2.311023288815673,0.04900728437203083,2.2997034046173095,0.1141,1764287831.573011
9,2.298426379289652,0.14037878651637875,2.2960240940093994,0.1422,1764287835.433426
10,2.2980591200693326,0.12471810118012647,2.2944147693634034,0.1289,1764287838.723416
11,2.283009397151316,0.13277690291050906,2.2775534477233887,0.1563,1764287842.8109262
