client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
1,2.1382519185782436,0.22329317269076304,2.1363185497651616,0.21967871485943774,1,0.0
4,2.1729939724871907,0.19000786782061369,2.1749021976975174,0.1966955153422502,2,1.0
3,2.170373384458802,0.19016921837228043,2.1778290663679987,0.19379532634971797,2,1.0
2,2.1492359137876234,0.20985691573926868,2.149937315093315,0.20945945945945946,2,1.0
0,2.183260660621425,0.20920340293890177,2.1756940109270633,0.2088167053364269,3,2.0
3,2.1172918489534562,0.22522159548751008,2.122330786046436,0.2199838839645447,3,1.0
4,2.174539485566734,0.2081038552321007,2.169276807741515,0.2049567269866247,4,2.0
1,2.1159842460509766,0.22690763052208834,2.1240406132127387,0.21967871485943774,4,2.0
2,2.1382619640975005,0.208664546899841,2.1399945488794807,0.21104928457869634,4,1.0
0,2.106820067230897,0.22621809744779584,2.1113425470191385,0.23356535189481825,5,2.0
4,2.119343131288218,0.2187254130605822,2.117677865302253,0.21321793863099922,6,2.0
3,2.1314199962124145,0.22763900080580177,2.123999665380965,0.2324738114423852,7,3.0
1,2.085378077901511,0.2389558232931727,2.0887100355692176,0.21967871485943774,7,3.0
2,2.0978214145654337,0.21144674085850557,2.086614213800961,0.2233704292527822,8,3.0
0,2.078343366709958,0.22815158546017014,2.068737774418936,0.2374323279195669,9,3.0
3,2.0593007730918966,0.25745366639806605,2.0705778977258085,0.24294923448831587,10,3.0
4,2.0861237926055463,0.22108575924468923,2.084378202724982,0.22423288749016523,11,4.0
2,2.0535887826607224,0.2384737678855326,2.0579320637713554,0.23449920508744038,12,3.0
1,2.0928759818096236,0.24377510040160644,2.0921594407185014,0.24056224899598394,12,4.0
0,2.0665904029984854,0.228538283062645,2.0695918634337964,0.24323279195668987,13,3.0
